category_folder,eval_category,artifact_group,condition,filename,relative_path,source_path
03_Sad,Sad,ret,VAD-Transformer Retrieval,VADPT_LLMVAD_ret.wav,03_Sad/ret/VADPT_LLMVAD_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/ret/VADPT_LLMVAD_ret.wav
03_Sad,Sad,ret,Text-Audio FFN Retrieval,TextAudioFFN_ret.wav,03_Sad/ret/TextAudioFFN_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/ret/TextAudioFFN_ret.wav
03_Sad,Sad,ret,Text-Prompt Transformer Retrieval,TextPromptTF_ret.wav,03_Sad/ret/TextPromptTF_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/ret/TextPromptTF_ret.wav
03_Sad,Sad,ret,Random Prompt lower bound,Random_ret.wav,03_Sad/ret/Random_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/ret/Random_ret.wav
03_Sad,Sad,gen,IndexTTS2-NoEmotion,IndexTTS2_SpeakerOnly_gen.wav,03_Sad/gen/IndexTTS2_SpeakerOnly_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/IndexTTS2_SpeakerOnly_gen.wav
03_Sad,Sad,gen,Qwen3-TTS-NoEmotion,Qwen3TTS_gen.wav,03_Sad/gen/Qwen3TTS_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/Qwen3TTS_gen.wav
03_Sad,Sad,gen,FishAudio2-NoEmotion,FishAudio2_gen.wav,03_Sad/gen/FishAudio2_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/FishAudio2_gen.wav
03_Sad,Sad,gen,Random Prompt + IndexTTS2,Random_gen.wav,03_Sad/gen/Random_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/Random_gen.wav
03_Sad,Sad,gen,LLM-VAD Nearest Retrieval + IndexTTS2,LLM_VAD_gen.wav,03_Sad/gen/LLM_VAD_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/LLM_VAD_gen.wav
03_Sad,Sad,gen,VAD-Transformer Retrieval + IndexTTS2,VADPT_LLMVAD_gen.wav,03_Sad/gen/VADPT_LLMVAD_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/VADPT_LLMVAD_gen.wav
03_Sad,Sad,gen,Text-Audio FFN Retrieval + IndexTTS2,TextAudioFFN_gen.wav,03_Sad/gen/TextAudioFFN_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/TextAudioFFN_gen.wav
03_Sad,Sad,gen,Text-Prompt Transformer Retrieval + IndexTTS2,TextPromptTF_gen.wav,03_Sad/gen/TextPromptTF_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/TextPromptTF_gen.wav
03_Sad,Sad,gen,VAD-Transformer Direct + IndexTTS2,VADPT_LLMVAD_Direct_gen.wav,03_Sad/gen/VADPT_LLMVAD_Direct_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/VADPT_LLMVAD_Direct_gen.wav
03_Sad,Sad,gen,Text-Prompt Transformer Direct + IndexTTS2,TextPromptTF_Direct_gen.wav,03_Sad/gen/TextPromptTF_Direct_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/TextPromptTF_Direct_gen.wav
03_Sad,Sad,gen,GT Emotion Prompt + IndexTTS2 upper bound,IndexTTS2_GTReference_gen.wav,03_Sad/gen/IndexTTS2_GTReference_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/gen/IndexTTS2_GTReference_gen.wav
04_Frustrated_MSPAngry,Frustrated,reference,Paired GT emotion reference,GT.wav,04_Frustrated_MSPAngry/GT.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/GT.wav
04_Frustrated_MSPAngry,Frustrated,text,Transcript,transcript.txt,04_Frustrated_MSPAngry/transcript.txt,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/transcript.txt
04_Frustrated_MSPAngry,Frustrated,ret,LLM-VAD Nearest Retrieval,LLM_VAD_ret.wav,04_Frustrated_MSPAngry/ret/LLM_VAD_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/ret/LLM_VAD_ret.wav
04_Frustrated_MSPAngry,Frustrated,ret,VAD-Transformer Retrieval,VADPT_LLMVAD_ret.wav,04_Frustrated_MSPAngry/ret/VADPT_LLMVAD_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/ret/VADPT_LLMVAD_ret.wav
04_Frustrated_MSPAngry,Frustrated,ret,Text-Audio FFN Retrieval,TextAudioFFN_ret.wav,04_Frustrated_MSPAngry/ret/TextAudioFFN_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/ret/TextAudioFFN_ret.wav
04_Frustrated_MSPAngry,Frustrated,ret,Text-Prompt Transformer Retrieval,TextPromptTF_ret.wav,04_Frustrated_MSPAngry/ret/TextPromptTF_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/ret/TextPromptTF_ret.wav
04_Frustrated_MSPAngry,Frustrated,ret,Random Prompt lower bound,Random_ret.wav,04_Frustrated_MSPAngry/ret/Random_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/ret/Random_ret.wav
04_Frustrated_MSPAngry,Frustrated,gen,IndexTTS2-NoEmotion,IndexTTS2_SpeakerOnly_gen.wav,04_Frustrated_MSPAngry/gen/IndexTTS2_SpeakerOnly_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/IndexTTS2_SpeakerOnly_gen.wav
04_Frustrated_MSPAngry,Frustrated,gen,Qwen3-TTS-NoEmotion,Qwen3TTS_gen.wav,04_Frustrated_MSPAngry/gen/Qwen3TTS_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/Qwen3TTS_gen.wav
04_Frustrated_MSPAngry,Frustrated,gen,FishAudio2-NoEmotion,FishAudio2_gen.wav,04_Frustrated_MSPAngry/gen/FishAudio2_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/FishAudio2_gen.wav
04_Frustrated_MSPAngry,Frustrated,gen,Random Prompt + IndexTTS2,Random_gen.wav,04_Frustrated_MSPAngry/gen/Random_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/Random_gen.wav
04_Frustrated_MSPAngry,Frustrated,gen,LLM-VAD Nearest Retrieval + IndexTTS2,LLM_VAD_gen.wav,04_Frustrated_MSPAngry/gen/LLM_VAD_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/LLM_VAD_gen.wav
04_Frustrated_MSPAngry,Frustrated,gen,VAD-Transformer Retrieval + IndexTTS2,VADPT_LLMVAD_gen.wav,04_Frustrated_MSPAngry/gen/VADPT_LLMVAD_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/VADPT_LLMVAD_gen.wav
04_Frustrated_MSPAngry,Frustrated,gen,Text-Audio FFN Retrieval + IndexTTS2,TextAudioFFN_gen.wav,04_Frustrated_MSPAngry/gen/TextAudioFFN_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/TextAudioFFN_gen.wav
04_Frustrated_MSPAngry,Frustrated,gen,Text-Prompt Transformer Retrieval + IndexTTS2,TextPromptTF_gen.wav,04_Frustrated_MSPAngry/gen/TextPromptTF_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/TextPromptTF_gen.wav
04_Frustrated_MSPAngry,Frustrated,gen,VAD-Transformer Direct + IndexTTS2,VADPT_LLMVAD_Direct_gen.wav,04_Frustrated_MSPAngry/gen/VADPT_LLMVAD_Direct_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/VADPT_LLMVAD_Direct_gen.wav
04_Frustrated_MSPAngry,Frustrated,gen,Text-Prompt Transformer Direct + IndexTTS2,TextPromptTF_Direct_gen.wav,04_Frustrated_MSPAngry/gen/TextPromptTF_Direct_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/TextPromptTF_Direct_gen.wav
04_Frustrated_MSPAngry,Frustrated,gen,GT Emotion Prompt + IndexTTS2 upper bound,IndexTTS2_GTReference_gen.wav,04_Frustrated_MSPAngry/gen/IndexTTS2_GTReference_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/gen/IndexTTS2_GTReference_gen.wav
05_Neutral,Neutral,reference,Paired GT emotion reference,GT.wav,05_Neutral/GT.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/GT.wav
05_Neutral,Neutral,text,Transcript,transcript.txt,05_Neutral/transcript.txt,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/transcript.txt
05_Neutral,Neutral,ret,LLM-VAD Nearest Retrieval,LLM_VAD_ret.wav,05_Neutral/ret/LLM_VAD_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/ret/LLM_VAD_ret.wav
05_Neutral,Neutral,ret,VAD-Transformer Retrieval,VADPT_LLMVAD_ret.wav,05_Neutral/ret/VADPT_LLMVAD_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/ret/VADPT_LLMVAD_ret.wav
05_Neutral,Neutral,ret,Text-Audio FFN Retrieval,TextAudioFFN_ret.wav,05_Neutral/ret/TextAudioFFN_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/ret/TextAudioFFN_ret.wav
05_Neutral,Neutral,ret,Text-Prompt Transformer Retrieval,TextPromptTF_ret.wav,05_Neutral/ret/TextPromptTF_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/ret/TextPromptTF_ret.wav
05_Neutral,Neutral,ret,Random Prompt lower bound,Random_ret.wav,05_Neutral/ret/Random_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/ret/Random_ret.wav
05_Neutral,Neutral,gen,IndexTTS2-NoEmotion,IndexTTS2_SpeakerOnly_gen.wav,05_Neutral/gen/IndexTTS2_SpeakerOnly_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/IndexTTS2_SpeakerOnly_gen.wav
05_Neutral,Neutral,gen,Qwen3-TTS-NoEmotion,Qwen3TTS_gen.wav,05_Neutral/gen/Qwen3TTS_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/Qwen3TTS_gen.wav
05_Neutral,Neutral,gen,FishAudio2-NoEmotion,FishAudio2_gen.wav,05_Neutral/gen/FishAudio2_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/FishAudio2_gen.wav
05_Neutral,Neutral,gen,Random Prompt + IndexTTS2,Random_gen.wav,05_Neutral/gen/Random_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/Random_gen.wav
05_Neutral,Neutral,gen,LLM-VAD Nearest Retrieval + IndexTTS2,LLM_VAD_gen.wav,05_Neutral/gen/LLM_VAD_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/LLM_VAD_gen.wav
05_Neutral,Neutral,gen,VAD-Transformer Retrieval + IndexTTS2,VADPT_LLMVAD_gen.wav,05_Neutral/gen/VADPT_LLMVAD_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/VADPT_LLMVAD_gen.wav
05_Neutral,Neutral,gen,Text-Audio FFN Retrieval + IndexTTS2,TextAudioFFN_gen.wav,05_Neutral/gen/TextAudioFFN_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/TextAudioFFN_gen.wav
05_Neutral,Neutral,gen,Text-Prompt Transformer Retrieval + IndexTTS2,TextPromptTF_gen.wav,05_Neutral/gen/TextPromptTF_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/TextPromptTF_gen.wav
05_Neutral,Neutral,gen,VAD-Transformer Direct + IndexTTS2,VADPT_LLMVAD_Direct_gen.wav,05_Neutral/gen/VADPT_LLMVAD_Direct_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/VADPT_LLMVAD_Direct_gen.wav
05_Neutral,Neutral,gen,Text-Prompt Transformer Direct + IndexTTS2,TextPromptTF_Direct_gen.wav,05_Neutral/gen/TextPromptTF_Direct_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/TextPromptTF_Direct_gen.wav
05_Neutral,Neutral,gen,GT Emotion Prompt + IndexTTS2 upper bound,IndexTTS2_GTReference_gen.wav,05_Neutral/gen/IndexTTS2_GTReference_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/gen/IndexTTS2_GTReference_gen.wav
01_Happy,Happy,reference,Audio0 speaker reference,Audio0.wav,01_Happy/Audio0.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/Audio0.wav
02_Angry,Angry,reference,Audio0 speaker reference,Audio0.wav,02_Angry/Audio0.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/Audio0.wav
03_Sad,Sad,reference,Audio0 speaker reference,Audio0.wav,03_Sad/Audio0.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/Audio0.wav
04_Frustrated_MSPAngry,Frustrated,reference,Audio0 speaker reference,Audio0.wav,04_Frustrated_MSPAngry/Audio0.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/064_MSP-PODCAST_4180_0006_0000/Audio0.wav
05_Neutral,Neutral,reference,Audio0 speaker reference,Audio0.wav,05_Neutral/Audio0.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/092_MSP-PODCAST_0285_0919/Audio0.wav
